sku_norm,sku_raw,bc_type,bc_product_id,bc_variant_id,case_qty,sku_unit_cost,ahs_unit_sales,ahs_case_sales,margin_case_price,target_vs_bc_pct,price_source,sale_price_status,sale_price_min_allowed,bc_price_old,bc_sale_price_old,bc_cost_old,new_price,new_bc_price,new_cost_price
QIMPDDK,QIMPDDK,variant,112466,105043,6,43.75,63.44,380.64,388.5,0,margin_case_price_to_bc_price,not_requested,,388.5,380.64,262.5,380.64,388.5,262.5
QIMPDDQ,QIMPDDQ,variant,112466,105042,8,39.4,57.13,457.04,466.5,0,margin_case_price_to_bc_price,not_requested,,466.5,457.04,315.2,457.04,466.5,315.2
QIMPDDT,QIMPDDT,variant,112466,105041,10,33.4,48.43,484.3,494.32,0,margin_case_price_to_bc_price,not_requested,,494.32,484.3,334,484.3,494.32,334
SL2940M,SL2940M,variant,110191,96257,25,3.45,3.99,99.75,127.65,0,margin_case_price_to_bc_price,not_requested,,127.65,,86.25,99.75,127.65,86.25
SL2940W,SL2940W,variant,110191,96256,25,2.75,3.99,99.75,101.75,0,margin_case_price_to_bc_price,not_requested,,101.75,99.75,68.75,99.75,101.75,68.75
SL2941,SL2941,product,110191,,25,1.95,2.83,70.75,72.15,0,margin_case_price_to_bc_price,not_requested,,72.15,70.75,48.75,70.75,72.15,48.75
SL2941-1-CT,SL2941-1-CT,variant,110191,96255,25,2,2.9,72.5,74,0,margin_case_price_to_bc_price,not_requested,,74,72.5,50,72.5,74,50
SPCNA,SPCNA,variant,110128,96150,12,10.5,15.23,182.76,186.48,-17.78,margin_case_price_to_bc_price,not_requested,,226.8,,162,182.76,186.48,126
SS,SS,product,109815,,12,8,11.6,139.2,142.08,24.37,margin_case_price_to_bc_price,not_requested,,114.24,0,5.99,139.2,142.08,96
SV3C5MB-1,SV3C5MB-1,variant,110191,96258,100,2.15,3.12,312,318.2,0,margin_case_price_to_bc_price,not_requested,,318.2,312,215,312,318.2,215
